# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
zenbook;1;2018-01-25 18:36:33 UTC;-1;1,25;0,00;1,50;0,00;0,00;97,24
zenbook;1;2018-01-25 18:36:34 UTC;-1;6,73;0,00;3,24;0,75;0,00;89,28
zenbook;1;2018-01-25 18:36:35 UTC;-1;4,29;0,00;1,52;0,00;0,00;94,19
zenbook;1;2018-01-25 18:36:36 UTC;-1;1,24;0,00;1,74;0,00;0,00;97,01
zenbook;1;2018-01-25 18:36:37 UTC;-1;1,01;0,00;1,01;0,25;0,00;97,74
zenbook;1;2018-01-25 18:36:38 UTC;-1;1,25;0,00;1,50;0,00;0,00;97,26
zenbook;1;2018-01-25 18:36:39 UTC;-1;1,01;0,00;1,26;0,00;0,00;97,74
zenbook;1;2018-01-25 18:36:40 UTC;-1;0,75;0,00;1,75;0,00;0,00;97,50
zenbook;1;2018-01-25 18:36:41 UTC;-1;2,27;0,00;1,51;2,02;0,00;94,21
zenbook;1;2018-01-25 18:36:42 UTC;-1;3,01;0,00;2,76;0,00;0,00;94,24
zenbook;1;2018-01-25 18:36:43 UTC;-1;2,51;0,00;2,51;0,00;0,00;94,99
zenbook;1;2018-01-25 18:36:44 UTC;-1;2,01;0,00;2,01;0,75;0,00;95,23
zenbook;1;2018-01-25 18:36:45 UTC;-1;2,01;0,00;2,01;0,00;0,00;95,99
zenbook;1;2018-01-25 18:36:46 UTC;-1;2,01;0,00;2,01;0,00;0,00;95,98
zenbook;1;2018-01-25 18:36:47 UTC;-1;1,75;0,00;2,50;0,00;0,00;95,75
zenbook;1;2018-01-25 18:36:48 UTC;-1;1,76;0,00;1,76;0,00;0,00;96,47
zenbook;1;2018-01-25 18:36:49 UTC;-1;2,01;0,00;2,01;0,00;0,00;95,99
zenbook;1;2018-01-25 18:36:50 UTC;-1;2,00;0,00;2,00;0,25;0,00;95,76
zenbook;1;2018-01-25 18:36:51 UTC;-1;2,01;0,00;1,76;0,00;0,00;96,23
zenbook;1;2018-01-25 18:36:52 UTC;-1;1,75;0,00;2,25;0,00;0,00;96,00
zenbook;1;2018-01-25 18:36:53 UTC;-1;2,26;0,00;1,75;0,00;0,00;95,99
zenbook;1;2018-01-25 18:36:54 UTC;-1;2,01;0,00;1,75;0,25;0,00;95,99
zenbook;1;2018-01-25 18:36:55 UTC;-1;1,75;0,00;2,01;0,00;0,00;96,24
zenbook;1;2018-01-25 18:36:56 UTC;-1;1,76;0,00;1,76;0,00;0,00;96,47
zenbook;1;2018-01-25 18:36:57 UTC;-1;1,50;0,00;2,50;0,00;0,00;96,00
zenbook;1;2018-01-25 18:36:58 UTC;-1;2,00;0,00;2,00;0,00;0,00;96,00
zenbook;1;2018-01-25 18:36:59 UTC;-1;2,00;0,00;2,00;0,25;0,00;95,75
zenbook;1;2018-01-25 18:37:00 UTC;-1;2,02;0,00;1,76;0,25;0,00;95,97
zenbook;1;2018-01-25 18:37:01 UTC;-1;1,51;0,00;2,01;0,00;0,00;96,48
zenbook;1;2018-01-25 18:37:02 UTC;-1;2,00;0,00;2,49;0,00;0,00;95,51
zenbook;1;2018-01-25 18:37:03 UTC;-1;1,75;0,00;2,00;0,00;0,00;96,25
zenbook;1;2018-01-25 18:37:04 UTC;-1;2,01;0,00;2,01;0,00;0,00;95,99
zenbook;1;2018-01-25 18:37:05 UTC;-1;2,01;0,00;2,01;0,00;0,00;95,99
zenbook;1;2018-01-25 18:37:06 UTC;-1;1,75;0,00;2,25;0,00;0,00;96,00
zenbook;1;2018-01-25 18:37:07 UTC;-1;1,75;0,00;2,01;0,00;0,00;96,24
zenbook;1;2018-01-25 18:37:08 UTC;-1;2,01;0,00;2,01;0,00;0,00;95,99
zenbook;1;2018-01-25 18:37:09 UTC;-1;2,00;0,00;2,00;0,25;0,00;95,75
zenbook;1;2018-01-25 18:37:10 UTC;-1;1,51;0,00;1,76;0,00;0,00;96,73
zenbook;1;2018-01-25 18:37:11 UTC;-1;2,00;0,00;2,24;0,00;0,00;95,76
zenbook;1;2018-01-25 18:37:12 UTC;-1;1,50;0,00;2,26;0,00;0,00;96,24
zenbook;1;2018-01-25 18:37:13 UTC;-1;1,75;0,00;2,01;0,00;0,00;96,24
zenbook;1;2018-01-25 18:37:14 UTC;-1;1,76;0,00;1,51;0,00;0,00;96,73
zenbook;1;2018-01-25 18:37:15 UTC;-1;1,75;0,00;2,00;0,00;0,00;96,25
zenbook;1;2018-01-25 18:37:16 UTC;-1;1,26;0,00;1,77;0,00;0,00;96,97
zenbook;1;2018-01-25 18:37:17 UTC;-1;2,01;0,00;1,75;0,00;0,00;96,24
zenbook;1;2018-01-25 18:37:18 UTC;-1;2,00;0,00;2,25;0,00;0,00;95,75
zenbook;1;2018-01-25 18:37:19 UTC;-1;2,76;0,00;2,26;0,00;0,00;94,99
zenbook;1;2018-01-25 18:37:20 UTC;-1;4,51;0,00;3,76;10,53;0,00;81,20
zenbook;1;2018-01-25 18:37:21 UTC;-1;3,00;0,00;3,00;0,00;0,00;94,00
zenbook;1;2018-01-25 18:37:22 UTC;-1;2,51;0,00;2,26;0,00;0,00;95,23
zenbook;1;2018-01-25 18:37:23 UTC;-1;3,78;0,00;3,27;0,00;0,00;92,95
zenbook;1;2018-01-25 18:37:24 UTC;-1;4,51;0,00;3,76;0,00;0,00;91,73
zenbook;1;2018-01-25 18:37:25 UTC;-1;4,81;0,00;3,04;0,00;0,00;92,15
zenbook;1;2018-01-25 18:37:26 UTC;-1;5,54;0,00;3,53;0,00;0,00;90,93
zenbook;1;2018-01-25 18:37:27 UTC;-1;6,05;0,00;3,78;0,00;0,00;90,18
zenbook;1;2018-01-25 18:37:28 UTC;-1;7,81;0,00;4,53;0,00;0,00;87,66
zenbook;1;2018-01-25 18:37:29 UTC;-1;6,62;0,00;3,31;0,00;0,00;90,08
zenbook;1;2018-01-25 18:37:30 UTC;-1;7,05;0,00;4,28;0,00;0,00;88,66
zenbook;1;2018-01-25 18:37:31 UTC;-1;7,29;0,00;4,52;0,00;0,00;88,19
zenbook;1;2018-01-25 18:37:32 UTC;-1;7,29;0,00;3,77;0,00;0,00;88,94
zenbook;1;2018-01-25 18:37:33 UTC;-1;7,34;0,00;3,54;0,00;0,00;89,11
zenbook;1;2018-01-25 18:37:34 UTC;-1;7,02;0,00;4,26;0,00;0,00;88,72
zenbook;1;2018-01-25 18:37:35 UTC;-1;7,07;0,00;4,04;0,00;0,00;88,89
zenbook;1;2018-01-25 18:37:36 UTC;-1;7,30;0,00;3,53;0,00;0,00;89,17
zenbook;1;2018-01-25 18:37:37 UTC;-1;7,04;0,00;4,27;0,00;0,00;88,69
zenbook;1;2018-01-25 18:37:38 UTC;-1;6,84;0,00;3,80;0,00;0,00;89,37
zenbook;1;2018-01-25 18:37:39 UTC;-1;6,53;0,00;4,27;0,00;0,00;89,20
zenbook;1;2018-01-25 18:37:40 UTC;-1;6,53;0,00;4,02;0,25;0,00;89,20
zenbook;1;2018-01-25 18:37:41 UTC;-1;6,28;0,00;4,02;0,25;0,00;89,45
zenbook;1;2018-01-25 18:37:42 UTC;-1;6,31;0,00;3,54;0,00;0,00;90,15
zenbook;1;2018-01-25 18:37:43 UTC;-1;6,30;0,00;4,03;0,00;0,00;89,67
zenbook;1;2018-01-25 18:37:44 UTC;-1;6,05;0,00;4,03;0,00;0,00;89,92
zenbook;1;2018-01-25 18:37:45 UTC;-1;6,27;0,00;4,26;0,00;0,00;89,47
zenbook;1;2018-01-25 18:37:46 UTC;-1;6,77;0,00;3,76;0,00;0,00;89,47
zenbook;1;2018-01-25 18:37:47 UTC;-1;5,78;0,00;4,52;0,25;0,00;89,45
zenbook;1;2018-01-25 18:37:48 UTC;-1;7,30;0,00;3,53;0,00;0,00;89,17
zenbook;1;2018-01-25 18:37:49 UTC;-1;6,73;0,00;4,49;0,00;0,00;88,78
zenbook;1;2018-01-25 18:37:50 UTC;-1;6,52;0,00;4,26;0,00;0,00;89,22
zenbook;1;2018-01-25 18:37:51 UTC;-1;7,00;0,00;4,25;0,00;0,00;88,75
zenbook;1;2018-01-25 18:37:52 UTC;-1;6,00;0,00;4,75;0,00;0,00;89,25
zenbook;1;2018-01-25 18:37:53 UTC;-1;6,55;0,00;3,53;0,00;0,00;89,92
zenbook;1;2018-01-25 18:37:54 UTC;-1;5,82;0,00;3,80;0,00;0,00;90,38
zenbook;1;2018-01-25 18:37:55 UTC;-1;6,05;0,00;4,28;0,00;0,00;89,67
zenbook;1;2018-01-25 18:37:56 UTC;-1;6,80;0,00;3,78;0,00;0,00;89,42
zenbook;1;2018-01-25 18:37:57 UTC;-1;6,55;0,00;3,53;0,00;0,00;89,92
zenbook;1;2018-01-25 18:37:58 UTC;-1;6,27;0,00;4,01;0,00;0,00;89,72
zenbook;1;2018-01-25 18:37:59 UTC;-1;6,53;0,00;3,77;0,00;0,00;89,70
zenbook;1;2018-01-25 18:38:00 UTC;-1;6,57;0,00;3,54;0,00;0,00;89,90
zenbook;1;2018-01-25 18:38:01 UTC;-1;6,28;0,00;3,77;0,00;0,00;89,95
zenbook;1;2018-01-25 18:38:02 UTC;-1;6,27;0,00;4,26;0,00;0,00;89,47
zenbook;1;2018-01-25 18:38:03 UTC;-1;6,30;0,00;3,53;0,00;0,00;90,18
zenbook;1;2018-01-25 18:38:04 UTC;-1;6,78;0,00;3,52;0,00;0,00;89,70
zenbook;1;2018-01-25 18:38:05 UTC;-1;6,28;0,00;4,02;0,00;0,00;89,70
zenbook;1;2018-01-25 18:38:06 UTC;-1;6,78;0,00;3,52;0,00;0,00;89,70
zenbook;1;2018-01-25 18:38:07 UTC;-1;6,53;0,00;3,77;0,00;0,00;89,70
zenbook;1;2018-01-25 18:38:08 UTC;-1;6,30;0,00;4,28;0,00;0,00;89,42
zenbook;1;2018-01-25 18:38:09 UTC;-1;6,03;0,00;4,27;0,00;0,00;89,70
zenbook;1;2018-01-25 18:38:10 UTC;-1;6,23;0,00;3,99;0,25;0,00;89,53
zenbook;1;2018-01-25 18:38:11 UTC;-1;6,27;0,00;4,01;0,00;0,00;89,72
zenbook;1;2018-01-25 18:38:12 UTC;-1;6,30;0,00;3,78;0,00;0,00;89,92
zenbook;1;2018-01-25 18:38:13 UTC;-1;6,48;0,00;4,24;0,00;0,00;89,28
zenbook;1;2018-01-25 18:38:14 UTC;-1;6,57;0,00;3,28;0,00;0,00;90,15
zenbook;1;2018-01-25 18:38:15 UTC;-1;6,52;0,00;4,51;0,00;0,00;88,97
zenbook;1;2018-01-25 18:38:16 UTC;-1;6,53;0,00;4,02;0,00;0,00;89,45
zenbook;1;2018-01-25 18:38:17 UTC;-1;6,30;0,00;3,78;0,00;0,00;89,92
zenbook;1;2018-01-25 18:38:18 UTC;-1;6,73;0,00;3,99;0,00;0,00;89,28
zenbook;1;2018-01-25 18:38:19 UTC;-1;6,28;0,00;4,02;0,00;0,00;89,70
zenbook;1;2018-01-25 18:38:20 UTC;-1;5,81;0,00;3,54;0,00;0,00;90,66
zenbook;1;2018-01-25 18:38:21 UTC;-1;6,03;0,00;3,77;0,25;0,00;89,95
zenbook;1;2018-01-25 18:38:22 UTC;-1;6,09;0,00;3,55;0,00;0,00;90,36
zenbook;1;2018-01-25 18:38:23 UTC;-1;6,98;0,00;4,49;0,00;0,00;88,53
zenbook;1;2018-01-25 18:38:24 UTC;-1;6,08;0,00;4,05;0,00;0,00;89,87
zenbook;1;2018-01-25 18:38:25 UTC;-1;6,52;0,00;4,01;0,00;0,00;89,47
zenbook;1;2018-01-25 18:38:26 UTC;-1;6,02;0,00;4,26;0,00;0,00;89,72
zenbook;1;2018-01-25 18:38:27 UTC;-1;7,25;0,00;3,75;0,00;0,00;89,00
zenbook;1;2018-01-25 18:38:28 UTC;-1;6,05;0,00;4,03;0,00;0,00;89,92
zenbook;1;2018-01-25 18:38:29 UTC;-1;6,23;0,00;4,49;0,00;0,00;89,28
zenbook;1;2018-01-25 18:38:30 UTC;-1;6,57;0,00;3,54;0,00;0,00;89,90
zenbook;1;2018-01-25 18:38:31 UTC;-1;7,79;0,00;4,77;0,00;0,00;87,44
zenbook;1;2018-01-25 18:38:32 UTC;-1;8,04;0,00;4,02;0,00;0,00;87,94
zenbook;1;2018-01-25 18:38:33 UTC;-1;7,58;0,00;4,55;0,00;0,00;87,88
zenbook;1;2018-01-25 18:38:34 UTC;-1;8,29;0,00;5,03;0,00;0,00;86,68
zenbook;1;2018-01-25 18:38:35 UTC;-1;8,33;0,00;4,29;0,00;0,00;87,37
zenbook;1;2018-01-25 18:38:36 UTC;-1;8,61;0,00;3,80;0,25;0,00;87,34
zenbook;1;2018-01-25 18:38:37 UTC;-1;8,84;0,00;4,55;0,00;0,00;86,62
zenbook;1;2018-01-25 18:38:38 UTC;-1;9,55;0,00;4,52;0,00;0,00;85,93
zenbook;1;2018-01-25 18:38:39 UTC;-1;10,28;0,00;5,76;0,00;0,00;83,96
zenbook;1;2018-01-25 18:38:40 UTC;-1;13,50;0,00;5,50;0,00;0,00;81,00
zenbook;1;2018-01-25 18:38:41 UTC;-1;11,90;0,00;5,57;0,00;0,00;82,53
zenbook;1;2018-01-25 18:38:42 UTC;-1;11,28;0,00;5,76;0,00;0,00;82,96
zenbook;1;2018-01-25 18:38:43 UTC;-1;10,91;0,00;4,82;0,00;0,00;84,26
zenbook;1;2018-01-25 18:38:44 UTC;-1;11,36;0,00;5,05;0,25;0,00;83,33
zenbook;1;2018-01-25 18:38:45 UTC;-1;11,90;0,00;5,06;0,00;0,00;83,04
zenbook;1;2018-01-25 18:38:46 UTC;-1;11,87;0,00;5,05;0,00;0,00;83,08
zenbook;1;2018-01-25 18:38:47 UTC;-1;12,03;0,00;5,51;0,00;0,00;82,46
zenbook;1;2018-01-25 18:38:48 UTC;-1;11,39;0,00;5,57;0,25;0,00;82,78
zenbook;1;2018-01-25 18:38:49 UTC;-1;12,47;0,00;5,49;0,00;0,00;82,04
zenbook;1;2018-01-25 18:38:50 UTC;-1;11,56;0,00;5,03;0,25;0,00;83,17
zenbook;1;2018-01-25 18:38:51 UTC;-1;11,31;0,00;5,53;0,00;0,00;83,17
zenbook;1;2018-01-25 18:38:52 UTC;-1;11,47;0,00;5,24;0,00;0,00;83,29
zenbook;1;2018-01-25 18:38:53 UTC;-1;11,34;0,00;4,79;0,00;0,00;83,88
zenbook;1;2018-01-25 18:38:54 UTC;-1;11,08;0,00;5,04;0,00;0,00;83,88
zenbook;1;2018-01-25 18:38:55 UTC;-1;11,28;0,00;5,51;0,00;0,00;83,21
zenbook;1;2018-01-25 18:38:56 UTC;-1;11,11;0,00;5,05;0,00;0,00;83,84
zenbook;1;2018-01-25 18:38:57 UTC;-1;11,25;0,00;5,50;0,00;0,00;83,25
zenbook;1;2018-01-25 18:38:58 UTC;-1;11,36;0,00;4,80;0,00;0,00;83,84
zenbook;1;2018-01-25 18:38:59 UTC;-1;10,86;0,00;4,80;0,00;0,00;84,34
zenbook;1;2018-01-25 18:39:00 UTC;-1;10,61;0,00;5,05;0,00;0,00;84,34
zenbook;1;2018-01-25 18:39:01 UTC;-1;10,72;0,00;5,49;0,00;0,00;83,79
zenbook;1;2018-01-25 18:39:02 UTC;-1;10,38;0,00;4,56;0,00;0,00;85,06
zenbook;1;2018-01-25 18:39:03 UTC;-1;10,38;0,00;4,81;0,00;0,00;84,81
zenbook;1;2018-01-25 18:39:04 UTC;-1;10,83;0,00;5,04;0,00;0,00;84,13
zenbook;1;2018-01-25 18:39:05 UTC;-1;11,47;0,00;5,24;0,25;0,00;83,04
zenbook;1;2018-01-25 18:39:06 UTC;-1;10,86;0,00;5,05;0,00;0,00;84,09
zenbook;1;2018-01-25 18:39:07 UTC;-1;10,13;0,00;4,81;0,00;0,00;85,06
zenbook;1;2018-01-25 18:39:08 UTC;-1;10,91;0,00;4,82;0,00;0,00;84,26
zenbook;1;2018-01-25 18:39:09 UTC;-1;11,11;0,00;4,55;0,00;0,00;84,34
zenbook;1;2018-01-25 18:39:10 UTC;-1;10,41;0,00;5,08;0,00;0,00;84,52
zenbook;1;2018-01-25 18:39:11 UTC;-1;10,33;0,00;5,04;0,00;0,00;84,63
zenbook;1;2018-01-25 18:39:12 UTC;-1;11,28;0,00;5,26;0,00;0,00;83,46
zenbook;1;2018-01-25 18:39:13 UTC;-1;10,66;0,00;4,82;0,00;0,00;84,52
zenbook;1;2018-01-25 18:39:14 UTC;-1;11,00;0,00;5,50;0,00;0,00;83,50
zenbook;1;2018-01-25 18:39:15 UTC;-1;10,33;0,00;5,29;0,00;0,00;84,38
zenbook;1;2018-01-25 18:39:16 UTC;-1;10,00;0,00;5,50;0,25;0,00;84,25
zenbook;1;2018-01-25 18:39:17 UTC;-1;10,61;0,00;5,05;0,00;0,00;84,34
zenbook;1;2018-01-25 18:39:18 UTC;-1;11,31;0,00;5,28;0,00;0,00;83,42
zenbook;1;2018-01-25 18:39:19 UTC;-1;10,38;0,00;5,06;0,00;0,00;84,56
zenbook;1;2018-01-25 18:39:20 UTC;-1;11,08;0,00;5,04;0,00;0,00;83,88
zenbook;1;2018-01-25 18:39:21 UTC;-1;10,80;0,00;5,78;0,00;0,00;83,42
zenbook;1;2018-01-25 18:39:22 UTC;-1;11,42;0,00;4,57;0,00;0,00;84,01
zenbook;1;2018-01-25 18:39:23 UTC;-1;11,14;0,00;5,06;0,76;0,00;83,04
zenbook;1;2018-01-25 18:39:24 UTC;-1;11,56;0,00;4,77;0,00;0,00;83,67
zenbook;1;2018-01-25 18:39:25 UTC;-1;10,83;0,00;4,79;0,00;0,00;84,38
zenbook;1;2018-01-25 18:39:26 UTC;-1;10,80;0,00;4,77;0,25;0,00;84,17
zenbook;1;2018-01-25 18:39:27 UTC;-1;10,78;0,00;5,76;0,00;0,00;83,46
zenbook;1;2018-01-25 18:39:28 UTC;-1;11,28;0,00;5,26;0,00;0,00;83,46
zenbook;1;2018-01-25 18:39:29 UTC;-1;10,61;0,00;4,80;0,00;0,00;84,60
zenbook;1;2018-01-25 18:39:30 UTC;-1;10,86;0,00;5,05;0,00;0,00;84,09
zenbook;1;2018-01-25 18:39:31 UTC;-1;10,08;0,00;5,29;0,00;0,00;84,63
zenbook;1;2018-01-25 18:39:32 UTC;-1;10,89;0,00;4,81;0,00;0,00;84,30
zenbook;1;2018-01-25 18:39:33 UTC;-1;10,58;0,00;4,79;0,00;0,00;84,63
zenbook;1;2018-01-25 18:39:34 UTC;-1;11,28;0,00;5,26;0,00;0,00;83,46
zenbook;1;2018-01-25 18:39:35 UTC;-1;10,66;0,00;4,57;0,00;0,00;84,77
zenbook;1;2018-01-25 18:39:36 UTC;-1;10,86;0,00;4,80;0,00;0,00;84,34
zenbook;1;2018-01-25 18:39:37 UTC;-1;11,08;0,00;4,79;0,00;0,00;84,13
zenbook;1;2018-01-25 18:39:38 UTC;-1;10,66;0,00;4,82;0,00;0,00;84,52
zenbook;1;2018-01-25 18:39:39 UTC;-1;10,80;0,00;4,77;0,00;0,00;84,42
zenbook;1;2018-01-25 18:39:40 UTC;-1;10,80;0,00;5,28;0,00;0,00;83,92
zenbook;1;2018-01-25 18:39:41 UTC;-1;12,37;0,00;5,56;0,00;0,00;82,07
zenbook;1;2018-01-25 18:39:42 UTC;-1;12,15;0,00;4,81;0,00;0,00;83,04
zenbook;1;2018-01-25 18:39:43 UTC;-1;11,59;0,00;5,79;0,00;0,00;82,62
zenbook;1;2018-01-25 18:39:44 UTC;-1;11,34;0,00;5,29;0,25;0,00;83,12
zenbook;1;2018-01-25 18:39:45 UTC;-1;11,84;0,00;5,79;0,00;0,00;82,37
zenbook;1;2018-01-25 18:39:46 UTC;-1;13,35;0,00;5,29;0,00;0,00;81,36
zenbook;1;2018-01-25 18:39:47 UTC;-1;11,87;0,00;5,30;0,00;0,00;82,83
zenbook;1;2018-01-25 18:39:48 UTC;-1;13,42;0,00;5,32;0,00;0,00;81,27
zenbook;1;2018-01-25 18:39:49 UTC;-1;13,13;0,00;6,06;0,00;0,00;80,81
zenbook;1;2018-01-25 18:39:50 UTC;-1;13,38;0,00;5,30;0,00;0,00;81,31
zenbook;1;2018-01-25 18:39:51 UTC;-1;14,94;0,00;5,57;0,00;0,00;79,49
zenbook;1;2018-01-25 18:39:52 UTC;-1;14,65;0,00;6,82;0,00;0,00;78,54
zenbook;1;2018-01-25 18:39:53 UTC;-1;16,03;0,00;6,62;0,00;0,00;77,35
zenbook;1;2018-01-25 18:39:54 UTC;-1;15,62;0,00;6,05;0,00;0,00;78,34
zenbook;1;2018-01-25 18:39:55 UTC;-1;15,09;0,00;6,39;0,00;0,00;78,52
zenbook;1;2018-01-25 18:39:56 UTC;-1;16,75;0,00;6,60;0,00;0,00;76,65
zenbook;1;2018-01-25 18:39:57 UTC;-1;15,70;0,00;6,84;0,00;0,00;77,47
zenbook;1;2018-01-25 18:39:58 UTC;-1;16,75;0,00;7,75;0,00;0,00;75,50
zenbook;1;2018-01-25 18:39:59 UTC;-1;16,33;0,00;7,04;0,00;0,00;76,63
zenbook;1;2018-01-25 18:40:00 UTC;-1;16,79;0,00;5,85;0,00;0,00;77,35
zenbook;1;2018-01-25 18:40:01 UTC;-1;16,71;0,00;6,33;0,00;0,00;76,96
zenbook;1;2018-01-25 18:40:02 UTC;-1;16,58;0,00;6,78;0,00;0,00;76,63
zenbook;1;2018-01-25 18:40:03 UTC;-1;16,58;0,00;7,04;0,00;0,00;76,38
zenbook;1;2018-01-25 18:40:04 UTC;-1;16,04;0,00;7,02;0,00;0,00;76,94
zenbook;1;2018-01-25 18:40:05 UTC;-1;16,37;0,00;6,30;0,00;0,00;77,33
zenbook;1;2018-01-25 18:40:06 UTC;-1;15,75;0,00;7,00;0,25;0,00;77,00
zenbook;1;2018-01-25 18:40:07 UTC;-1;15,87;0,00;7,05;1,01;0,00;76,07
zenbook;1;2018-01-25 18:40:08 UTC;-1;16,29;0,00;6,52;0,00;0,00;77,19
zenbook;1;2018-01-25 18:40:09 UTC;-1;15,37;0,00;7,05;0,00;0,00;77,58
zenbook;1;2018-01-25 18:40:10 UTC;-1;16,29;0,00;6,52;0,00;0,00;77,19
zenbook;1;2018-01-25 18:40:11 UTC;-1;16,04;0,00;6,27;0,00;0,00;77,69
zenbook;1;2018-01-25 18:40:12 UTC;-1;15,66;0,00;6,57;0,00;0,00;77,78
zenbook;1;2018-01-25 18:40:13 UTC;-1;15,66;0,00;6,57;0,00;0,00;77,78
zenbook;1;2018-01-25 18:40:14 UTC;-1;15,08;0,00;6,78;0,00;0,00;78,14
zenbook;1;2018-01-25 18:40:15 UTC;-1;15,62;0,00;6,55;0,00;0,00;77,83
zenbook;1;2018-01-25 18:40:16 UTC;-1;16,04;0,00;6,77;0,25;0,00;76,94
